iter	Logloss
0	0.6578029494
1	0.624467242
2	0.5947612108
3	0.5694732079
4	0.5466571934
5	0.526342668
6	0.5082310283
7	0.4898603442
8	0.4753867849
9	0.4623235527
10	0.4473847969
11	0.4376177032
12	0.4286209851
13	0.419951026
14	0.412664433
15	0.4054198244
16	0.3987418183
17	0.3926505841
18	0.3879915356
19	0.3822253251
20	0.3778147252
21	0.374538265
22	0.3712212888
23	0.3663265885
24	0.3629472788
25	0.3584721931
26	0.3562909405
27	0.3530817095
28	0.3504263035
29	0.3475847423
30	0.3455171572
31	0.3431952193
32	0.3391161402
33	0.3365740537
34	0.3342134435
35	0.3320802352
36	0.3292906391
37	0.3276694293
38	0.325171761
39	0.3221625078
40	0.3195827634
41	0.3179216319
42	0.3152716012
43	0.3143253796
44	0.3114107816
45	0.3092619116
46	0.3073101315
47	0.3055238427
48	0.3038854351
49	0.3012190682
50	0.2993896851
51	0.2973212133
52	0.2965360193
53	0.2954300073
54	0.2944772662
55	0.2923537538
56	0.2903318169
57	0.2892893469
58	0.2879552868
59	0.2864924878
60	0.28415716
61	0.2828529863
62	0.2811432246
63	0.2789377478
64	0.277643878
65	0.2761732181
66	0.2743936986
67	0.2738382403
68	0.2727041827
69	0.2715592746
70	0.2697907231
71	0.2679065077
72	0.2672240438
73	0.2661485814
74	0.2641830793
75	0.2621802024
76	0.2602116384
77	0.2586870721
78	0.2576444639
79	0.256396599
80	0.2551759236
81	0.2537846931
82	0.252006932
83	0.2513376992
84	0.2505490901
85	0.2485389415
86	0.247681159
87	0.2461598898
88	0.2450529429
89	0.2437107702
90	0.2427676971
91	0.2409275026
92	0.2394016517
93	0.2385674045
94	0.2362271806
95	0.2358378507
96	0.2344963251
97	0.2326591316
98	0.2306184173
99	0.2296142382
100	0.2286369751
101	0.2278875614
102	0.2274290268
103	0.2259121386
104	0.2243900119
105	0.2217745521
106	0.2200888529
107	0.2190127262
108	0.2172760043
109	0.2155768955
110	0.2136676278
111	0.2128056091
112	0.21125785
113	0.2104997722
114	0.2098660815
115	0.2083018437
116	0.207494551
117	0.2054008527
118	0.2035591276
119	0.2015634233
120	0.200398345
121	0.1993332936
122	0.1977258871
123	0.1971105399
124	0.1956104824
125	0.1947607128
126	0.1943356909
127	0.1936367873
128	0.1931266002
129	0.1917014365
130	0.1908564742
131	0.1897998541
132	0.1893670848
133	0.1883771651
134	0.1881162489
135	0.1869052538
136	0.1857789325
137	0.1838535591
138	0.1824024514
139	0.1819084114
140	0.1808451146
141	0.1787861735
142	0.1785309014
143	0.1769775819
144	0.17618235
145	0.1755321651
146	0.1751162104
147	0.1741984662
148	0.1732938945
149	0.1728455783
150	0.1710984537
151	0.1705667408
152	0.1698676891
153	0.1682180439
154	0.1662319167
155	0.1654110203
156	0.1651489859
157	0.1637992373
158	0.163691912
159	0.1625912823
160	0.1613895051
161	0.1608870535
162	0.1606764259
163	0.1604723813
164	0.1594402666
165	0.1582868523
166	0.1574160166
167	0.1560308562
168	0.1558531156
169	0.1553282584
170	0.1546782096
171	0.1531241493
172	0.1525471711
173	0.1514562198
174	0.1503687328
175	0.1495891492
176	0.1480259273
177	0.14792061
178	0.1474478635
179	0.1473774292
180	0.1467369697
181	0.1458204619
182	0.1457423695
183	0.1452248703
184	0.1449386776
185	0.1440655856
186	0.1429110787
187	0.1419168773
188	0.1407765533
189	0.1394062679
190	0.1389941808
191	0.1384717091
192	0.1373507126
193	0.1366384157
194	0.1357680121
195	0.1347792527
196	0.1337344418
197	0.132983033
198	0.1323743185
199	0.1321393148
200	0.1314671233
201	0.1309000888
202	0.1298883897
203	0.1286593584
204	0.1280354739
205	0.1265828852
206	0.1259004504
207	0.1257669152
208	0.1250100039
209	0.1244323736
210	0.1237284729
211	0.1236482902
212	0.1228648864
213	0.1220209278
214	0.1215914567
215	0.120757685
216	0.1200580759
217	0.119554575
218	0.1189366279
219	0.1182264382
220	0.1176523404
221	0.1170004381
222	0.1169124256
223	0.1162146818
224	0.1156532969
225	0.1146512796
226	0.114236885
227	0.113478383
228	0.1131936993
229	0.1122347621
230	0.1120786966
231	0.1120362088
232	0.1115713147
233	0.1111700133
234	0.1105859854
235	0.1096708513
236	0.1095871011
237	0.1089767495
238	0.1089240578
239	0.1081130252
240	0.1076105572
241	0.1067051454
242	0.1058508937
243	0.105341624
244	0.1047483081
245	0.1044515677
246	0.103965522
247	0.1039070007
248	0.1032247173
249	0.1029676375
250	0.1022181848
251	0.1019887163
252	0.1012076304
253	0.1008777178
254	0.09946181389
255	0.09928964598
256	0.09882354073
257	0.09867443645
258	0.09798038891
259	0.09785475203
260	0.09754424623
261	0.09697964793
262	0.09664431063
263	0.09658730362
264	0.09609404472
265	0.09542242741
266	0.09508314258
267	0.0944034325
268	0.09374991362
269	0.0933771941
270	0.09270373207
271	0.09200561946
272	0.09162569734
273	0.09157541873
274	0.09098785006
275	0.08976891596
276	0.08913905799
277	0.08903384404
278	0.08868931361
279	0.0883635982
280	0.08808649832
281	0.08798520895
282	0.08743068943
283	0.08696533053
284	0.08669786039
285	0.08611813096
286	0.08599554221
287	0.08594389855
288	0.08539566411
289	0.08534013745
290	0.08498634234
291	0.08419788544
292	0.08413608002
293	0.08363317412
294	0.08332889241
295	0.08302320892
296	0.08299408709
297	0.08252758519
298	0.08223166328
299	0.08216544076
